Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
,Medalon,Jennifer Fallon,,,,9780765348661,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Treason Keep,Jennifer Fallon,,,0765309874,,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Harshini,Jennifer Fallon,,,,9780765348685,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Species,Yvonne Navarro,,,,,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Annals of the Former World,John McPhee,,,,9780374518738,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Species II: A Novel,Yvonne Navarro,,,,9780812570755,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,The Necromancer,Michael Scott,,,,9780385905169,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Ashes to Ashes,Tami Hoag,,,,9780553589177,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Picoverse,Robert A. Metzger,,,,,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Left Behind,Tim LaHaye,,,,9780842342704,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Dragons of the Highlord Skies,Margaret Weis,,,,9780786943333,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,"Making Sense of Evolution: Darwin, God, and the Drama of Life",John F. Haught,,,,9780664232856,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,The Millionaires,Brad Meltzer,,,,,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Dark Hollow,John Connolly,,,,9780743410229,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,The Alexandria Link,Steve Berry,,,,9780345485755,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,The Lost World,Michael Crichton,,,,9780739359303,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Guardian of the Balance,Irene Radford,,,,9780886778750,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Off Armageddon Reef,David Weber,,,,9780765315007,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Olympos,Dan Simmons,,,,9780380817931,,,,,,,,2010/06/01,2010/06/01,,,read,,,,1,,,0,,,,,
,Poison Study,Maria V. Snyder,,,,9780778324331,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,The Judas Strain,James Rollins,,,,9780060763893,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Under Fire,W.E.B. Griffin,,,,9780515134377,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,The Prometheus Deception,Robert Ludlum,,,,9780312978365,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Spy Dance,Allan Topol,,,,,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Magic Study,Maria V. Snyder,,,,9780373802494,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Fire Study,Maria V. Snyder,,,,9780778325345,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Into the Fire,Suzanne Brockmann,,,,9780345501530,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Burned,Ellen Hopkins,,,,9781416903550,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Countdown,Iris Johansen,,,,9780553586510,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Crank,Ellen Hopkins,,,,9780689865190,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Uglies,Scott Westerfeld,,,,9780689865381,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Pretties,Scott Westerfeld,,,,9780689865398,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Specials,Scott Westerfeld,,,,9780689865404,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Extras,Scott Westerfeld,,,,9781416951179,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Storm Cycle,Iris Johansen,,,,9780312368036,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,The Monkey Wrench Gang,Edward Abbey,,,,9780061129766,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Helen of Troy,Margaret George,,,,9780670037780,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,The Homing,John Saul,,,,9781469292625,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,City of the Beasts,Isabel Allende,,,,9780060535032,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,The Glass Castle,Jeannette Walls,,,,9780743247542,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Dealing with Dragons,Patricia C. Wrede,,,,9780152045661,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,The Love Knot,Elizabeth Chadwick,,,,,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Shadow of the King,Helen Hollick,,,,9781906236663,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,By Schism Rent Asunder,David Weber,,,,,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Stormrider,David Gemmell,,,,9780345445865,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,By Heresies Distressed,David Weber,,,,,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Dragon's Blood,Jane Yolen,,,,9780152051266,,,,,,,,2010/07/01,2010/07/01,,,read,,,,1,,,0,,,,,
,Lost Souls,Lisa Jackson,,,,,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,The Sword in the Storm,David Gemmell,,,,9780345432346,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,"Mary, Called Magdalene",Margaret George,,,,9780142002797,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,Gone,Kit Craig,,,,,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,Armada,Charles Gidley Wheeler,,,,9780595348978,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,Sandstorm,James Rollins,,,,9780060580674,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,Mary Queen of Scotland and the Isles,Margaret George,,,,9780312082628,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,Up Country,Nelson DeMille,,,,9780446611916,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,The Gates of Sleep,Mercedes Lackey,,,,9780756401016,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,Ravenheart: A Novel of the Rigante,David Gemmell,,,,9780345432285,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,Midnight Falcon,David Gemmell,,,,9780345432360,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,City of Bones,Cassandra Clare,,,,9781416914280,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,Heart's Blood,Jane Yolen,,,,9780152051181,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,A Sending of Dragons,Jane Yolen,,,,,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,The Floating Island,Elizabeth Haydon,,,,,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,The Thief Queen's Daughter,Elizabeth Haydon,,,,,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,The Dragon's Lair,Elizabeth Haydon,,,,,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,The Exile,Allan Folsom,,,,,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,The Door to December,Dean Koontz,,,,9780451205421,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,Burned,P.C. Cast,,,,9781905654949,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,Ho Chi Minh: A Life,William J. Duiker,,,,9780786863877,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,The Last Olympian,Rick Riordan,,,,9781423101475,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,This Book Will Change Your Life,Ben Carey,,,,9780452284890,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,Crime and Punishment,Fyodor Dostoevsky,,,,9780143058144,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,"Deltora Quest: Special Edition, Books 1-4",Emily Rodda,,,,9780760742499,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,"Deltora Quest: Special Edition, Books 5-8",Emily Rodda,,,,9780760795804,,,,,,,,2010/08/01,2010/08/01,,,read,,,,1,,,0,,,,,
,Beloved,Toni Morrison,,,,9781400033416,,,,,,,,2010/09/01,2010/09/01,,,read,,,,1,,,0,,,,,
,The Hunger Games,Suzanne Collins,,,,9780439023481,,,,,,,,2010/09/01,2010/09/01,,,read,,,,1,,,0,,,,,
,Storm Thief,Chris Wooding,,,,,,,,,,,,2010/09/01,2010/09/01,,,read,,,,1,,,0,,,,,
,Catching Fire,Suzanne Collins,,,,9781760265311,,,,,,,,2010/09/01,2010/09/01,,,read,,,,1,,,0,,,,,
,Dragon Slippers,Jessica Day George,,,,9781599900575,,,,,,,,2010/09/01,2010/09/01,,,read,,,,1,,,0,,,,,
,The Last Olympian,Rick Riordan,,,,9781423101475,,,,,,,,2010/09/01,2010/09/01,,,read,,,,1,,,0,,,,,
,The Harper Hall of Pern,Anne McCaffrey,,,,9780553188448,,,,,,,,2010/09/01,2010/09/01,,,read,,,,1,,,0,,,,,
,The Wolving Time,Patrick Jennings,,,,,,,,,,,,2010/09/01,2010/09/01,,,read,,,,1,,,0,,,,,
,Invisible Man,Ralph Ellison,,,0679732764,,,,,,,,,2010/09/01,2010/09/01,,,read,,,,1,,,0,,,,,
,Eon: Dragoneye Reborn,Alison Goodman,,,,9780670062270,,,,,,,,2010/09/01,2010/09/01,,,read,,,,1,,,0,,,,,
,Impulse,Ellen Hopkins,,,,9781416903567,,,,,,,,2010/10/01,2010/10/01,,,read,,,,1,,,0,,,,,
,The Traveler: A Novel,John Twelve Hawks,,,,9780385673914,,,,,,,,2010/10/01,2010/10/01,,,read,,,,1,,,0,,,,,
,The Lost Symbol,Dan Brown,,,,9780385504225,,,,,,,,2010/10/01,2010/10/01,,,read,,,,1,,,0,,,,,
,Identical,Ellen Hopkins,,,,9781416950059,,,,,,,,2010/10/01,2010/10/01,,,read,,,,1,,,0,,,,,
,The Secrets of Jin-Shei,Alma Alexander,,,,9780060750589,,,,,,,,2010/10/01,2010/10/01,,,read,,,,1,,,0,,,,,
,The Physician's Tale,Ann Benson,,,,9780385335058,,,,,,,,2010/10/01,2010/10/01,,,read,,,,1,,,0,,,,,
,The Loch,Steve Alten,,,,9780976165927,,,,,,,,2010/10/01,2010/10/01,,,read,,,,1,,,0,,,,,
,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,,,,9780060589462,,,,,,,,2010/10/01,2010/10/01,,,read,,,,1,,,0,,,,,
,A River in Darkness: One Man's Escape from North Korea,Masaji Ishikawa,,,,9781542047197,,,,,,,,2010/10/01,2010/10/01,,,read,,,,1,,,0,,,,,
,Mother Earth Father Sky,Sue Harrison,,,0380715929,,,,,,,,,2010/10/01,2010/10/01,,,read,,,,1,,,0,,,,,
,Deltora Quest 3: Dragons of Deltora,Emily Rodda,,,,,,,,,,,,2010/10/01,2010/10/01,,,read,,,,1,,,0,,,,,
,"Deltora Shadowlands: Special Edition, Books 1-3",Emily Rodda,,,0760766045,,,,,,,,,2010/10/01,2010/10/01,,,read,,,,1,,,0,,,,,
,Midnight for Charlie Bone,Jenny Nimmo,,,,,,,,,,,,2010/11/01,2010/11/01,,,read,,,,1,,,0,,,,,
,Charlie Bone and the Time Twister,Jenny Nimmo,,,,,,,,,,,,2010/11/01,2010/11/01,,,read,,,,1,,,0,,,,,
,My Sister the Moon,Sue Harrison,,,,9780380718368,,,,,,,,2010/11/01,2010/11/01,,,read,,,,1,,,0,,,,,
,Professor Winsnicker's Book of Proper Etiquette for Well-Mannered Sycophants,Clover Ernest,,,,,,,,,,,,2010/11/01,2010/11/01,,,read,,,,1,,,0,,,,,
,"Alice Cooper, Golf Monster: A Rock 'n' Roller's 12 Steps to Becoming a Golf Addict",Alice Cooper,,,,9780307382658,,,,,,,,2010/11/01,2010/11/01,,,read,,,,1,,,0,,,,,
,We,Yevgeny Zamyatin,,,,9780140185850,,,,,,,,2010/11/01,2010/11/01,,,read,,,,1,,,0,,,,,
,A River in Darkness: One Man's Escape from North Korea,Masaji Ishikawa,,,,9781542047197,,,,,,,,2010/11/01,2010/11/01,,,read,,,,1,,,0,,,,,
,The Golden City,John Twelve Hawks,,,,9780385664257,,,,,,,,2010/11/01,2010/11/01,,,read,,,,1,,,0,,,,,
,The Lovely Bones,Alice Sebold,,,,9780316166683,,,,,,,,2010/11/01,2010/11/01,,,read,,,,1,,,0,,,,,
,Through a Dark Mist,Marsha Canham,,,,9780440206118,,,,,,,,2010/12/01,2010/12/01,,,read,,,,1,,,0,,,,,
,Aristoi,Walter Jon Williams,,,,,,,,,,,,2010/12/01,2010/12/01,,,read,,,,1,,,0,,,,,
,Dragons of a Lost Star,Margaret Weis,,,0786927062,,,,,,,,,2010/12/01,2010/12/01,,,read,,,,1,,,0,,,,,
,Year Zero,Jeff Long,,,,9781416534426,,,,,,,,2010/12/01,2010/12/01,,,read,,,,1,,,0,,,,,
,The Doomsday Key,James Rollins,,,,9780061231407,,,,,,,,2010/12/01,2010/12/01,,,read,,,,1,,,0,,,,,
,Running with the Demon,Terry Brooks,,,,9780345379627,,,,,,,,2010/12/01,2010/12/01,,,read,,,,1,,,0,,,,,
,The Chase,Clive Cussler,,,,9780399154386,,,,,,,,2010/12/01,2010/12/01,,,read,,,,1,,,0,,,,,
,The Joiner King,Troy Denning,,,,9780345463043,,,,,,,,2010/12/01,2010/12/01,,,read,,,,1,,,0,,,,,
,Tithe,Holly Black,,,,9780689867040,,,,,,,,2011/01/01,2011/01/01,,,read,,,,1,,,0,,,,,
,You,Charles Benoit,,,,9780061947049,,,,,,,,2011/01/01,2011/01/01,,,read,,,,1,,,0,,,,,
,The Crazy School,Cornelia Read,,,,9780446582599,,,,,,,,2011/01/01,2011/01/01,,,read,,,,1,,,0,,,,,
,Undercover,Beth Kephart,,,,,,,,,,,,2011/01/01,2011/01/01,,,read,,,,1,,,0,,,,,
,TimeRiders,Alex Scarrow,,,,9780141326924,,,,,,,,2011/01/01,2011/01/01,,,read,,,,1,,,0,,,,,
,After the Moment,Garret Weyr,,,,9780618605729,,,,,,,,2011/01/01,2011/01/01,,,read,,,,1,,,0,,,,,
,The Red Necklace,Sally Gardner,,,,9780803731004,,,,,,,,2011/01/01,2011/01/01,,,read,,,,1,,,0,,,,,
,The Greyfriar,Susan Griffith,,,,9781616142476,,,,,,,,2011/01/01,2011/01/01,,,read,,,,1,,,0,,,,,
,In the Woods,Tana French,,,,9780670038602,,,,,,,,2011/01/01,2011/01/01,,,read,,,,1,,,0,,,,,
,The Game,Laurie R. King,,,,,,,,,,,,2011/01/01,2011/01/01,,,read,,,,1,,,0,,,,,
,Blue Moon,Alyson Noel,,,,9780312532765,,,,,,,,2011/02/01,2011/02/01,,,read,,,,1,,,0,,,,,
,The Sisterhood of the Traveling Pants,Ann Brashares,,,,9780385729338,,,,,,,,2011/02/01,2011/02/01,,,read,,,,1,,,0,,,,,
,The Green Mile,Stephen King,,,,9780451933027,,,,,,,,2011/02/01,2011/02/01,,,read,,,,1,,,0,,,,,
,The Second Summer of the Sisterhood,Ann Brashares,,,,9780385731058,,,,,,,,2011/02/01,2011/02/01,,,read,,,,1,,,0,,,,,
,Deception,Lee Nichols,,,,9781599903088,,,,,,,,2011/02/01,2011/02/01,,,read,,,,1,,,0,,,,,
,Paul McCartney: A Life,Peter Ames Carlin,,,,9781616377939,,,,,,,,2011/02/01,2011/02/01,,,read,,,,1,,,0,,,,,
,American Rebel: The Life of Clint Eastwood,Marc Eliot,,,,9781400163472,,,,,,,,2011/02/01,2011/02/01,,,read,,,,1,,,0,,,,,
,Clapton: The Autobiography,Eric Clapton,,,,9780385518512,,,,,,,,2011/02/01,2011/02/01,,,read,,,,1,,,0,,,,,
,The Summoner,Gail Z. Martin,,,,9781844164684,,,,,,,,2011/02/01,2011/02/01,,,read,,,,1,,,0,,,,,
,Frederic Chopin,Bernard Gavoty,,,,9780684149301,,,,,,,,2011/02/01,2011/02/01,,,read,,,,1,,,0,,,,,
,John Lennon: The Life,Philip Norman,,,,,,,,,,,,2011/02/01,2011/02/01,,,read,,,,1,,,0,,,,,
,Rebel Angels,Libba Bray,,,,9780385733410,,,,,,,,2011/03/01,2011/03/01,,,read,,,,1,,,0,,,,,
,The Knife of Never Letting Go,Patrick Ness,,,,9780763676186,,,,,,,,2011/03/01,2011/03/01,,,read,,,,1,,,0,,,,,
,The Ask and the Answer,Patrick Ness,,,,9780763676179,,,,,,,,2011/03/01,2011/03/01,,,read,,,,1,,,0,,,,,
,The Eyes of God,John Marco,,,,,,,,,,,,2011/04/01,2011/04/01,,,read,,,,1,,,0,,,,,
,Destined for an Early Grave,Jeaniene Frost,,,,9780061583216,,,,,,,,2011/04/01,2011/04/01,,,read,,,,1,,,0,,,,,
,Opening Atlantis,Harry Turtledove,,,,9781400105540,,,,,,,,2011/04/01,2011/04/01,,,read,,,,1,,,0,,,,,
,The Invaders Plan,L. Ron Hubbard,,,,9781592121922,,,,,,,,2011/05/01,2011/05/01,,,read,,,,1,,,0,,,,,
,Dreamcatcher,Stephen King,,,,9780743436274,,,,,,,,2011/05/01,2011/05/01,,,read,,,,1,,,0,,,,,
,Black Genesis,L. Ron Hubbard,,,,9781592121816,,,,,,,,2011/05/01,2011/05/01,,,read,,,,1,,,0,,,,,
,Perfect,Judith McNaught,,,,9780743474177,,,,,,,,2011/06/01,2011/06/01,,,read,,,,1,,,0,,,,,
,Fallout,Ellen Hopkins,,,,9781416950097,,,,,,,,2011/06/01,2011/06/01,,,read,,,,1,,,0,,,,,
,The Glass Castle,Jeannette Walls,,,,9780743247542,,,,,,,,2011/06/01,2011/06/01,,,read,,,,1,,,0,,,,,
,Going Rogue: An American Life,Sarah Palin,,,,9780061939891,,,,,,,,2011/06/01,2011/06/01,,,read,,,,1,,,0,,,,,
,Downfall,Jean Rabe,,,,9780786918140,,,,,,,,2011/06/01,2011/06/01,,,read,,,,1,,,0,,,,,
,The Damascus Way,Janette Oke,,,,9780764208669,,,,,,,,2011/06/01,2011/06/01,,,read,,,,1,,,0,,,,,
,Knock Out,Catherine Coulter,,,,9780399155840,,,,,,,,2011/06/01,2011/06/01,,,read,,,,1,,,0,,,,,
,Isolation Ward,Joshua Spanogle,,,,9780385338530,,,,,,,,2011/06/01,2011/06/01,,,read,,,,1,,,0,,,,,
,Beyond Ragnarok,Mickey Zucker Reichert,,,,,,,,,,,,2011/06/01,2011/06/01,,,read,,,,1,,,0,,,,,
,When True Night Falls,C.S. Friedman,,,,9780756403164,,,,,,,,2011/06/01,2011/06/01,,,read,,,,1,,,0,,,,,
,The Dark Half,Stephen King,,,,9780450524684,,,,,,,,2011/06/01,2011/06/01,,,read,,,,1,,,0,,,,,
,Teacher Man,Frank McCourt,,,,9780743243780,,,,,,,,2011/06/01,2011/06/01,,,read,,,,1,,,0,,,,,
,Sons of the Oak,David Farland,,,,9780765301772,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,Worldbinder,David Farland,,,076531665X,,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,Aurian,Maggie Furey,,,,9780553565256,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,See Jane Die,Erica Spindler,,,,9780778321699,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,Triptych,Karin Slaughter,,,,9780385339469,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,Angela's Ashes,Frank McCourt,,,,9780007205233,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,'Tis,Frank McCourt,,,,9780006551812,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,The Children of Wrath,Mickey Zucker Reichert,,,,9780886778606,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,"The Strange Affair of Spring Heeled Jack: Burton & Swinburne, Book 1",Mark Hodder,,,,,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,Dark Peril,Christine Feehan,,,,9780349400099,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,Shadowfever,Karen Marie Moning,,,,9780385341677,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,The Dark Mirror,Juliet Marillier,,,,9780765348753,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,Darkfever,Karen Marie Moning,,,,9780385339155,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,Gone with the Wind,Margaret Mitchell,,,,9780446675536,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,One Door Away from Heaven,Dean Koontz,,,,9780553582758,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,Bloodfever,Karen Marie Moning,,,,9780385339162,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,Faefever,Karen Marie Moning,,,,9780385341639,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,This Alien Shore,C.S. Friedman,,,,9780886777999,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,The Heart of Myrial,Maggie Furey,,,,9781857239713,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,The Crush,Sandra Brown,,,,9780340827680,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,Dark Slayer,Christine Feehan,,,,9780515148435,,,,,,,,2011/07/01,2011/07/01,,,read,,,,1,,,0,,,,,
,Dark Curse,Christine Feehan,,,,9780749908836,,,,,,,,2011/08/01,2011/08/01,,,read,,,,1,,,0,,,,,
,"Hush, Hush",Becca Fitzpatrick,,,,9781416989417,,,,,,,,2011/08/01,2011/08/01,,,read,,,,1,,,0,,,,,
,Howl's Moving Castle,Diana Wynne Jones,,,,9780064410342,,,,,,,,2011/08/01,2011/08/01,,,read,,,,1,,,0,,,,,
,Fallen,Lauren Kate,,,,9780385738934,,,,,,,,2011/09/01,2011/09/01,,,read,,,,1,,,0,,,,,
,Vampire Academy,Richelle Mead,,,,9781595141743,,,,,,,,2011/09/01,2011/09/01,,,read,,,,1,,,0,,,,,
,Frostbite,Richelle Mead,,,,,,,,,,,,2011/09/01,2011/09/01,,,read,,,,1,,,0,,,,,
,The Water Mirror,Kai Meyer,,,,9780689877872,,,,,,,,2011/10/01,2011/10/01,,,read,,,,1,,,0,,,,,
,Crescendo,Becca Fitzpatrick,,,,9781416989431,,,,,,,,2011/10/01,2011/10/01,,,read,,,,1,,,0,,,,,
,Silence,Becca Fitzpatrick,,,,9781442426641,,,,,,,,2011/10/01,2011/10/01,,,read,,,,1,,,0,,,,,
,Moon Called,Patricia Briggs,,,,9780441013814,,,,,,,,2011/11/01,2011/11/01,,,read,,,,1,,,0,,,,,
,Blood Bound,Patricia Briggs,,,,9780441014736,,,,,,,,2011/11/01,2011/11/01,,,read,,,,1,,,0,,,,,
,Iron Kissed,Patricia Briggs,,,,,,,,,,,,2011/11/01,2011/11/01,,,read,,,,1,,,0,,,,,
,Bone Crossed,Patricia Briggs,,,,9781841496863,,,,,,,,2011/12/01,2011/12/01,,,read,,,,1,,,0,,,,,
,Dragon's Keep,Janet Lee Carey,,,,9780152059262,,,,,,,,2011/12/01,2011/12/01,,,read,,,,1,,,0,,,,,
,The Gypsy Crown,Kate Forsyth,,,,,,,,,,,,2012/01/01,2012/01/01,,,read,,,,1,,,0,,,,,
,The Stone Light,Kai Meyer,,,,9780689877896,,,,,,,,2012/01/01,2012/01/01,,,read,,,,1,,,0,,,,,
,Eragon,Christopher Paolini,,,,9781400086245,,,,,,,,2012/02/01,2012/02/01,,,read,,,,1,,,0,,,,,
,Kaimira: The Sky Village: Book One,Monk Ashland,,,,9780763635244,,,,,,,,2012/02/01,2012/02/01,,,read,,,,1,,,0,,,,,
,Passion,Lauren Kate,,,,,,,,,,,,2012/03/01,2012/03/01,,,read,,,,1,,,0,,,,,
,Mao's Last Dancer,Li Cunxin,,,,9780425201336,,,,,,,,2012/03/01,2012/03/01,,,read,,,,1,,,0,,,,,
,Brisingr,Christopher Paolini,,,,9780375826726,,,,,,,,2012/04/01,2012/04/01,,,read,,,,1,,,0,,,,,
,Battle Royale,Koushun Takami,,,,9781569317785,,,,,,,,2012/04/01,2012/04/01,,,read,,,,1,,,0,,,,,
,Gone,Michael Grant,,,,9780061448768,,,,,,,,2012/05/01,2012/05/01,,,read,,,,1,,,0,,,,,
,Inheritance,Christopher Paolini,,,,9780375856112,,,,,,,,2012/05/01,2012/05/01,,,read,,,,1,,,0,,,,,
,The Girl Who Played with Fire,Stieg Larsson,,,,9780307269980,,,,,,,,2012/06/01,2012/06/01,,,read,,,,1,,,0,,,,,
,Tooth and Claw,Jo Walton,,,,9780765349095,,,,,,,,2012/06/01,2012/06/01,,,read,,,,1,,,0,,,,,
,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,,,,9780307269997,,,,,,,,2012/06/01,2012/06/01,,,read,,,,1,,,0,,,,,
,Vampire Kisses,Ellen Schreiber,,,,9780060093365,,,,,,,,2012/06/01,2012/06/01,,,read,,,,1,,,0,,,,,
,The Dwarves,Markus Heitz,,,,9781841495729,,,,,,,,2012/06/01,2012/06/01,,,read,,,,1,,,0,,,,,
,Colleges That Change Lives: 40 Schools That Will Change the Way You Think About Colleges,Loren Pope,,,,,,,,,,,,2012/06/01,2012/06/01,,,read,,,,1,,,0,,,,,
,Into the Darkness,Harry Turtledove,,,,9780765383310,,,,,,,,2012/06/01,2012/06/01,,,read,,,,1,,,0,,,,,
,Aerie & Reckoning by Thomas E. Sniegoski,Thomas E. Sniegoski,,,,,,,,,,,,2012/06/01,2012/06/01,,,read,,,,1,,,0,,,,,
,The Road,Cormac McCarthy,,,,9780307265432,,,,,,,,2012/06/01,2012/06/01,,,read,,,,1,,,0,,,,,
,The Book Thief,Markus Zusak,,,,9780375831003,,,,,,,,2012/06/01,2012/06/01,,,read,,,,1,,,0,,,,,
